Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,dAIC_permodel,rmin,ef,N
NGC3726,0.0012499999999999996,,0.09502672119239114,19328.08561966199,6.354908765840711,True,62.92760856270097,62.92760856270097,0.0,6.0,12
NGC3741,0.0012499999999999996,,0.0,3270.203258763745,3.86485333598691,True,34.715902494997295,46.834250470405436,3.0,6.0,9
NGC3769,0.0012499999999999996,,0.0,14046.501039221781,0.806662063883723,True,3.4321164035262512,3.4321164035262512,2.0,4.0,11
NGC3877,0.0012499999999999996,,0.2936930754248602,16644.226580118564,0.14341485086662453,True,0.99597400249732,0.99597400249732,3.0,4.0,10
NGC3893,0.010331965791733518,96.78700260506942,0.0,34612.80595489756,0.7142671828706105,False,3.2073298537077406,3.2073298537077406,2.0,4.0,9
NGC3917,0.0012499999999999996,,1.026594749234634,5999.642664267286,1.4743094407351047,True,19.733083940136282,29.62361335487246,3.0,6.0,14
NGC3949,0.044736094320214,22.353314816491483,0.0,24413.327272769206,1.37060241262677,False,7.084175081872353,13.124503547444746,2.0,4.0,6
NGC3953,0.02784451443063621,35.91371659545766,0.8501929849854278,0.0,0.5913590732004412,False,1.3698559120595775,1.3698559120595775,0.0,4.0,8
NGC3972,0.06315633414306439,15.833724575190793,1.5386095050981994,0.0,2.1721175986903214,False,14.661563951132834,17.916615797355945,3.0,6.0,7
NGC3992,0.0012499999999999996,,0.45272416171008406,45359.53619714273,0.7072765848557152,True,3.4863466902325158,3.4863466902325158,0.0,4.0,9
NGC4010,0.0032266127542716037,309.92253367750243,1.3592834010948118,0.0,5.263191091481531,False,37.71655256874123,37.71655256874123,3.0,6.0,9
NGC4013,0.0012499999999999996,,0.20891179402688498,26229.086279612788,1.2555006299981262,True,24.684426356600397,31.99293366047985,0.0,6.0,36
NGC4051,0.0012499999999999996,,0.5295969743146333,5817.609732536996,0.6829089747114535,True,1.010049714699683,1.010049714699683,2.0,4.0,6
NGC4068,0.5,2.0,1.9712978076041405,0.0,1.1953760242378895,False,0.17181118218069003,1.6284935980074522,0.0,6.0,6
NGC4085,0.039309588468880614,25.43908595714882,0.0,17353.87764918089,0.801627241042222,False,1.3528873335380318,1.6859196615464214,3.0,4.0,4
NGC4088,0.0012499999999999996,,0.13819658206956822,21289.521056386442,1.0520047877181071,True,7.881999368329602,7.881999368329602,2.0,4.0,11
NGC4100,0.0012499999999999996,,0.4210608945757897,21420.626913898264,1.2672431719441668,True,17.444932721684154,18.997234342988293,3.0,6.0,23
NGC4138,0.08916117070568895,11.21564456910159,0.0,39480.089024450295,0.2992256828589838,False,-1.1501742349063306,-1.1501742349063306,3.0,6.0,6
NGC4157,0.0012499999999999996,,0.14820982285038126,27898.789914287503,0.8181058878919101,True,10.115282888389387,10.115282888389387,2.0,6.0,16
NGC4183,0.0012499999999999996,,0.24199348484250943,9412.257653489345,0.8126807860033848,True,13.56088513471505,13.56088513471505,3.0,4.0,20
NGC4214,0.0012499999999999996,,0.0,6445.177211260805,0.025270901392648766,True,0.14136039672345646,0.14136039672345646,3.0,4.0,7
NGC4217,0.0012499999999999996,,0.0,36171.56143142989,3.069102996752152,True,42.85381341293845,42.85381341293845,3.0,6.0,16
NGC4389,0.01809427090702012,55.266111861518844,0.0,8894.64525695884,2.424391878250711,False,-0.9183224157703158,-0.9183224157703158,3.0,6.0,3
NGC4559,0.0012499999999999996,,0.0,14109.790350036803,2.3590003710635865,True,62.02915754000986,74.05159010857949,3.0,6.0,28
NGC5005,0.03765118429098579,26.559589527690203,0.21707516425108422,50775.76385936279,0.44264572790375983,False,6.869732419983606,6.869732419983606,3.0,6.0,12
NGC5033,0.009478579292193035,105.50104284337664,0.0,51218.077833176976,0.631953275861345,False,0.9377452419645067,1.9115959584860605,3.0,6.0,20
NGC5055,0.008328823892822558,120.06497110135314,0.0,41384.9237791791,0.695567614252747,False,12.157483719248262,32.68856826307011,3.0,6.0,24
NGC5371,0.0012499999999999996,,0.30455018627267705,29399.97224568867,0.9698318222306839,True,-8.99655870914836,-8.99655870914836,3.0,4.0,17
NGC5585,0.0012499999999999996,,0.0,8619.399997517154,3.6603563824442986,True,42.83002071035031,54.87363849384604,3.0,6.0,12
NGC5907,0.0012499999999999996,,0.3291145263014329,37066.019085965796,0.8779442015270091,True,-9.349010168740563,-7.109901106435217,0.0,4.0,19
NGC5985,0.0012499999999999996,,0.9651314001284848,40799.85169223882,2.6866471280491235,True,58.53779751824709,58.53779751824709,0.0,6.0,33
NGC6015,0.0012499999999999996,,0.0,23143.383260297924,1.304932619763492,True,-50.63346617404133,-21.147024531145348,3.0,3.0,35
NGC6195,0.0012499999999999996,,0.0,61445.58561422597,0.9920592346459614,True,-13.454824476632808,-13.454824476632808,3.0,6.0,21
NGC6503,0.0012499999999999996,,0.09821738456777075,12472.785602640835,0.18103971244165534,True,-2.0602911990880557,-2.0602911990880557,3.0,3.0,28
NGC6674,0.0012499999999999996,,0.5113426622604132,48320.77509646962,1.480434363338592,True,13.725706433924941,17.797631028347624,3.0,6.0,14
NGC6789,0.5,2.0,6.073012479915215,0.0,1.6932620953581865,False,0.7975095422548151,2.5278553164488073,0.0,6.0,4
NGC6946,0.0012499999999999996,,0.20114229570852274,21783.479849065534,0.8292124230914089,True,30.3896209122488,42.51476221893205,3.0,6.0,49
NGC7331,0.0012499999999999996,,0.10366463844492131,49541.44425059679,0.958924929993392,True,12.321471013841517,16.874739597404755,3.0,4.0,35
NGC7793,0.11547684200792004,8.659744955022363,0.0,12457.58785284316,0.4453480715415361,False,-1.216272090449408,-1.216272090449408,3.0,4.0,15
NGC7814,0.014586188039276105,68.55800825461104,0.0,53126.76610200937,0.4157533552066113,False,-1.2704697244422363,-1.2704697244422363,3.0,3.0,15
PGC51017,0.5,2.0,0.0,201.38811930811167,0.00607094274042388,False,-1.982536548087669,-1.982536548087669,2.0,3.0,3
