Galaxy,best_m,best_rc,best_mu,best_B,best_chi2_pt,best_chi2_tot,best_nll,best_AIC,best_k_eff,N_pts,is_boundary,rc_lo90,rmin_used,ef_used,nfw_rs,nfw_chi2_pt,nfw_AIC,dAIC_yuk_nfw
NGC3726,0.010787053076703189,92.70372481615959,0.4358794450515296,14082.807185897256,3.236882687788762,38.84259225346514,108.37615432021576,114.37615432021576,3,12,False,,0.0,6.0,200.00000000000003,1.1027855386772485,88.7669885308776,25.609165789338164
NGC3741,0.2111411503067189,4.73616819150283,1.4041050840127463,2330.4301418921045,0.047686624979522294,1.0014191245699682,114.85073522674452,120.85073522674452,3,21,False,,0.0,6.0,11.204854008908788,0.07266271874775157,119.37523319587736,1.4755020308671618
NGC3769,0.041041039603174026,24.365854512190822,0.558495099117939,11151.978334162468,0.6736205252780079,8.083446303336094,79.64349914281303,85.64349914281303,3,12,False,,0.0,6.0,4.865125544090533,0.33743764298658124,79.6093045553159,6.034194587497126
NGC3877,0.16302482660724069,6.134035047368579,0.19518151444378753,24402.398477842566,5.981972673015946,77.7656447492073,151.32837739658038,157.32837739658038,3,13,False,,0.0,6.0,6.589370460244033,3.8010280521848308,128.97609732577587,28.35228007080451
NGC3893,0.05793982801009974,17.2592849227251,0.3818541848268275,23039.51833204764,1.512786289621347,15.12786289621347,75.41786117419286,81.41786117419286,3,10,False,,0.0,6.0,3.3297123003473708,0.5217312379590873,69.50731065757026,11.910550516622607
NGC3917,0.17020550521369712,5.875250619799141,0.5330234658240706,13095.887461539793,0.8702956718794954,14.795026421951421,107.40504560729258,113.40504560729258,3,17,False,,0.0,6.0,200.00000000000003,1.0633809429103682,116.68749521481742,-3.282449607524839
NGC3949,0.0659381517771104,15.165726867508855,0.5226775611052206,6364.1752329212895,0.8741798865652227,6.119259205956559,49.23336233380023,55.23336233380023,3,7,False,,0.0,6.0,3.3297123003473708,0.234102949021986,48.752823770997566,6.480538562802664
NGC3953,0.19370158354843892,5.162580406834569,0.7129687507944121,8653.635958170631,0.40817273293223927,3.265381863457914,48.30283106462687,54.30283106462687,3,8,False,,0.0,6.0,6.589370460244033,0.16182251013869955,52.332029282278555,1.9708017823483175
NGC3972,0.4208143878350722,2.3763446044338323,0.0,15790.688551778108,0.7964885254021506,7.964885254021507,62.40252426618713,66.40252426618713,2,10,False,,0.0,6.0,20.554454164387554,0.6072714769942023,64.51035378210764,1.892170484079486
NGC3992,0.009896077859494246,101.05013462890302,0.9739966173172615,26436.726105882088,4.662086131985252,41.95877518786727,92.45528712659247,98.45528712659247,3,9,False,,0.0,6.0,10.386488249676107,0.3088238307225378,59.27592641522804,39.179360711364424
NGC4010,0.3541694980180128,2.8235068395108964,0.38850320492577534,11793.57554679975,0.6471368625649291,7.765642350779149,73.33129121144987,79.33129121144987,3,12,False,,0.0,6.0,25.80586096353838,1.323273745181292,85.44493380284621,-6.113642591396342
NGC4013,0.016599743454806373,60.24189486557727,0.6816831016300717,18738.95651299217,1.9581205006331244,70.49233802279248,271.0702430945645,277.0702430945645,3,36,False,,0.0,6.0,200.00000000000003,0.5706150519210919,227.12004694093136,49.95019615363313
NGC4051,0.261922111725308,3.8179289003623893,0.3933529403699671,11076.269549194561,0.3923924099451432,2.7467468696160022,44.926591469817446,50.926591469817446,3,7,False,,0.0,6.0,7.108556062724371,0.45951143236896036,51.39642462678417,-0.4698331569667218
NGC4068,0.5,2.0,0.24915074192703426,1252.663805244324,0.017818924868381634,0.1069135492102898,32.63528957840302,38.63528957840302,3,6,False,,0.0,6.0,200.00000000000003,0.32091583204318774,38.45387102145185,0.18141855695116504
NGC4085,0.13720638522128958,7.288290544111174,0.13580493496715562,15629.49007936245,0.4801975650711605,3.3613829554981236,42.188405455019016,48.188405455019016,3,7,False,,0.0,6.0,30.032624737448785,2.060813683865639,57.25271828658036,-9.064312831561345
NGC4088,0.17020550521369712,5.875250619799141,0.37384650659530344,13714.177936217999,1.5372789648532972,18.447347578239565,88.50461063656564,94.50461063656564,3,12,False,,0.0,6.0,200.00000000000003,0.344342121367567,80.18936851473688,14.31524212182876
NGC4100,0.2508720666526624,3.986095436382405,0.826685607759718,15542.902935602724,1.2232127415894065,29.357105798145756,164.59322428594473,170.59322428594473,3,24,False,,0.0,6.0,7.108556062724371,0.6462445889620564,156.74598862288832,13.84723566305641
NGC4138,0.023434744589386013,42.67168332839081,0.5529121456590648,17209.590698005693,0.21227141634807248,1.4858999144365073,50.538586662376666,56.538586662376666,3,7,False,,0.0,6.0,0.9172120470309147,0.6915732612066708,57.89369957638686,-1.355112914010192
NGC4157,0.11547684200792004,8.659744955022363,0.4783382588687427,19134.1261463568,1.4936077691395173,25.391332075371793,128.1021168465209,134.1021168465209,3,17,False,,0.0,6.0,136.880837716175,0.2764387906035678,113.41024421140973,20.691872635111153
NGC4183,0.015228659070119253,65.66566336507849,1.3126406235183716,5747.433925137576,0.8399629971371599,19.31914893415468,147.25517561796457,153.25517561796457,3,23,False,,0.0,6.0,9.627893239384193,0.12173177865453633,136.73585759286425,16.51931802510032
NGC4214,0.13720638522128958,7.288290544111174,0.517628458033223,5358.044322128623,2.1584881426787814,30.21883399750294,110.3896884542502,116.3896884542502,3,14,False,,0.0,6.0,1.682555878437282,0.42325889808062056,90.09647902987595,26.293209424374254
NGC4217,0.43934980317580585,2.276090697598082,0.18596554164298595,30534.724291545626,1.6395266079147433,31.15100555038012,140.16601049252657,146.16601049252657,3,19,False,,0.0,6.0,6.589370460244033,3.25238960174998,174.81040737539604,-28.644396882869472
NGC4389,0.14955951043015286,6.686301640891095,0.05123789312633769,10002.89925866999,0.06664782935890663,0.3998869761534398,34.0690901607641,40.0690901607641,3,6,False,,0.0,6.0,5.661988568127707,4.8978293685517365,67.05617939592108,-26.98708923515698
NGC4559,0.3541694980180128,2.8235068395108964,0.6576375766119251,9388.165858497476,0.07334041776305925,2.346893368417896,179.1848660316131,185.1848660316131,3,32,False,,0.0,6.0,6.108104470051255,0.17550584846999273,186.45415981423494,-1.269293782621844
NGC5005,0.04876382651067896,20.507004301252007,0.22362941418901242,44381.64966335506,0.35714474309242106,6.428605375663579,147.6675007579044,153.6675007579044,3,18,False,,0.0,6.0,40.67646117147285,0.04558601238372702,148.05944360514792,5.608057152756487
NGC5033,0.17770246782622962,5.62738386378445,0.0,53591.03127311811,2.9238941660194713,64.32567165242837,188.3057859477345,192.3057859477345,2,22,False,,0.0,6.0,8.272872467171695,0.53751172783731,141.80537230772697,50.50041364000754
NGC5055,0.0027156101419392826,368.2413703484978,0.36409380471905645,26714.687891914866,0.27907108833304856,7.81399047332536,163.14204546929804,169.14204546929804,3,28,False,,0.0,6.0,16.371691167089814,0.13398769729077048,165.07971052011428,4.062334949183764
NGC5371,0.0012499999999999996,,0.5787616548167283,14956.713989075808,6.218396149523044,118.14952684093784,222.486003540568,228.486003540568,3,19,True,,0.0,6.0,5.2484555073989805,2.462747336142197,157.1286760863319,71.3573274542361
