Galaxy,m,rc,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
NGC7793,0.0012499999999999996,,3263.776655355392,0.453815446333134,True,0.8177659181685186,3.0,4.0,15
NGC7814,0.0012499999999999996,,15264.528844883558,16.65895188093122,True,192.4974078974086,3.0,6.0,15
PGC51017,0.0012499999999999996,,0.0,0.8658547813872716,True,0.0,2.0,3.0,3
UGC00128,0.0012499999999999996,,12284.752525487105,4.642507344590096,True,93.36896973833656,2.0,6.0,21
UGC00191,0.0012499999999999996,,4192.874712186284,1.275955378069831,True,3.6194203052675498,3.0,3.0,3
UGC00634,0.0012499999999999996,,7002.299069927949,6.725969921597946,True,25.12359663281693,0.0,6.0,4
UGC00731,0.0012499999999999996,,3769.5904081737212,1.0204229888454561,True,8.598363939665525,3.0,3.0,9
UGC00891,0.0012499999999999996,,2739.9144719697615,1.3056791821309655,True,3.889207473045907,3.0,4.0,3
UGC01230,0.0012499999999999996,,7704.246334833351,0.17525017222175707,True,0.8578803665106705,3.0,6.0,9
UGC01281,0.0012499999999999996,,2346.068397337791,0.08727612606142217,True,0.514750359784756,3.0,4.0,6
UGC02023,0.0012499999999999996,,817.6855533089719,0.7390827727202711,True,0.8498275188190298,2.0,6.0,3
UGC02259,0.0012499999999999996,,5318.002778474084,0.776254653684132,True,3.5488330618215826,3.0,4.0,6
UGC02455,0.0012499999999999996,,0.0,15.71866486938446,True,0.0,3.0,6.0,3
UGC02487,0.0012499999999999996,,65551.65257962821,7.902072520563377,True,112.76067472437214,0.0,6.0,17
UGC02885,0.0012499999999999996,,28452.525619079704,15.53507923165846,True,236.7160899956493,2.0,6.0,18
UGC02916,0.0012499999999999996,,0.0,28.434035793021128,True,0.0,3.0,6.0,35
UGC02953,0.0012499999999999996,,8357.305365628712,75.74395781734479,True,4364.879035321483,3.0,6.0,81
UGC03205,0.0012499999999999996,,10056.195924047674,11.888807983938806,True,382.7607983082898,2.0,6.0,43
UGC03546,0.0012499999999999996,,2810.0085008751203,15.184485454404932,True,83.75515944563102,3.0,6.0,17
UGC03580,0.0012499999999999996,,5535.913996321077,13.699816458368595,True,218.50230988971708,3.0,6.0,21
UGC04278,0.0012499999999999996,,3880.7740583433256,2.6076531953318813,True,26.317651025062617,3.0,6.0,14
UGC04305,0.0012499999999999996,,0.0,1.056410437799415,True,0.0,3.0,6.0,11
UGC04325,0.0012499999999999996,,5313.427614232416,0.12022439459711262,True,0.44226784807463915,3.0,3.0,4
UGC04483,0.0012499999999999996,,219.13108951935996,0.6696503426586715,True,4.9982573543249345,0.0,6.0,8
UGC04499,0.0012499999999999996,,2874.9557983347963,1.0160467682504093,True,5.613722893719682,3.0,4.0,6
UGC05005,0.0012499999999999996,,4064.8820735187146,4.040249253502139,True,33.85681438117817,3.0,6.0,9
