Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
UGC07261,0.0012499999999999996,,0.9549925860214359,3212.1305413541613,0.41649089058897726,True,1.5221765008842105,3.0,4.0,4
UGC07323,0.0012499999999999996,,1.096478196143185,1696.6514340662845,0.7126652339881898,True,3.065369384555023,3.0,3.0,5
UGC07399,0.0012499999999999996,,0.9549925860214359,8056.949111076334,1.2449539518274395,True,7.291441034238851,3.0,4.0,6
UGC07524,0.0012499999999999996,,1.8197008586099834,2483.6137138731874,0.9807976546794263,True,18.58452192218479,3.0,4.0,23
UGC07559,0.0012499999999999996,,1.0471285480508996,259.6905972363808,0.8015849053058792,True,4.489858620925091,0.0,6.0,7
UGC07577,0.0012499999999999996,,0.9120108393559099,0.0,0.2571082042554272,True,0.0,0.0,3.0,9
UGC07603,0.0012499999999999996,,1.0,3121.5868604660277,0.2159584857124599,True,0.8007203311340909,3.0,3.0,4
UGC07608,0.0012499999999999996,,1.0,3589.7404541624737,0.1392447950918431,True,0.41442051796567725,3.0,6.0,3
UGC07690,0.0012499999999999996,,0.9549925860214359,1561.432515408638,0.05011300870685515,True,0.20020017223469466,2.0,4.0,4
UGC07866,0.0012499999999999996,,1.1481536214968828,288.7267137574471,0.8813615871155216,True,5.982934145748551,0.0,4.0,7
UGC08286,0.0012499999999999996,,0.7585775750291838,5250.350588740402,1.1275621222370553,True,12.183862290407745,3.0,3.0,11
UGC08490,0.0012499999999999996,,0.7943282347242815,5052.891768801046,0.2629285754152226,True,4.842101939765058,3.0,3.0,22
UGC08550,0.0012499999999999996,,1.0,2512.517920287148,0.2179050155562336,True,0.6998435273070598,3.0,3.0,5
UGC08699,0.0012499999999999996,,0.3630780547701014,24083.052238549775,1.0443317037678892,True,24.856537989050366,3.0,6.0,28
UGC08837,0.0012499999999999996,,1.0,992.5334057850868,0.23615812723913843,True,0.618929095496096,3.0,3.0,3
UGC09037,0.0012499999999999996,,0.28840315031266056,11566.284723541641,7.310752368902448,True,135.01737432349034,3.0,6.0,21
UGC09133,0.0019235725615665206,519.8660138849242,0.2754228703338167,52999.95139936206,1.2986800821053743,False,30.38056578664259,3.0,6.0,59
UGC09992,0.0012499999999999996,,1.0,345.3910799988808,0.007849178177348653,True,-0.0006962435977371229,2.0,4.0,3
UGC10310,0.0012499999999999996,,1.0,2872.442728356508,0.06655777482304841,True,0.18961354525237795,3.0,4.0,5
UGC11455,0.0012499999999999996,,0.5754399373371569,21186.500913198397,17.850966464011854,True,524.7405127830382,3.0,6.0,32
UGC11557,0.0012499999999999996,,0.6918309709189365,0.0,1.0439113125840962,True,-0.11707851544849035,3.0,6.0,8
UGC11820,0.0012499999999999996,,0.9549925860214359,4183.34466990601,1.6204257021278987,True,8.077224290839531,2.0,6.0,5
UGC11914,0.0012499999999999996,,0.34673685045253166,51618.13012176042,1.2162867731573186,True,24.8623320886322,3.0,6.0,35
UGC12506,0.0012499999999999996,,0.8709635899560807,34172.627336544516,0.6006060163290383,True,11.088954441136451,3.0,6.0,29
UGC12632,0.0012499999999999996,,1.0,3323.019552891802,0.9930858951942754,True,10.650125327938682,3.0,3.0,11
UGC12732,0.0012499999999999996,,0.8317637711026711,5329.024207440122,1.4585044641967986,True,18.384224843237263,3.0,6.0,13
UGCA281,0.0012499999999999996,,1.7378008287493754,97.35513419909375,0.8872414449320345,True,5.760583835441707,0.0,3.0,7
UGCA442,0.0012499999999999996,,1.0,2640.3805691099665,0.3849294464735349,True,1.3962993278246323,3.0,3.0,4
UGCA444,0.0012499999999999996,,1.0,959.3388649443175,0.13997928674956228,True,0.9202203682728154,2.0,3.0,9
